amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Sharpe,Alpha,Beta,Max_Drawdown,ReturnRank,SharpeRank,AlphaRank,ExpenseRank,DrawdownRank,FundScore
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.92,0.7757902498211205,0.17729754927531766,0.048820404259577385,-0.15200013055606398,17.0,23.0,25.0,27.0,18.0,21.7
119095,Axis Small Cap Fund - Regular - Growth,20.98,1.38,-0.0759735711747892,0.04801595363775955,-0.06695117463929198,-0.5167775370852656,37.0,8.0,4.0,24.0,39.0,21.4
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.66,0.9532794968660104,0.1986859936686296,-0.02615930751351341,-0.11803493502764295,7.0,29.0,26.0,37.0,11.0,21.200000000000003
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.6,1.0272133278753695,0.21399784776051212,0.02108631625012804,-0.11291596329323073,19.0,32.0,29.0,4.5,9.0,21.075
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.72,0.6452074382933215,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,14.0,20.0,19.0,35.5,26.0,20.925
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,1.64,0.6195175900829828,0.16211256794033255,0.016682689437770806,-0.21539827112383225,28.0,19.0,20.0,1.5,30.0,20.375
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,1.56,0.07599984804658923,0.0780443887615508,0.018056874208118162,-0.24003511326274884,34.0,11.0,12.0,8.0,33.0,19.85
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,1.42,0.7979728586052847,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,8.0,24.0,24.0,21.0,14.0,17.75
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.75,0.12961449795669328,0.08232801295222093,0.02588321244009315,-0.21751396370148224,12.0,12.0,13.0,33.0,31.0,17.25
118635,Nippon India ETF Nifty 50 BeES,11.77,0.89,0.664856998549062,0.1513635464823924,-0.001433521389780139,-0.1165062450540909,9.0,22.0,18.0,28.0,10.0,17.0
102886,UTI Mid Cap Fund - Regular - Growth,15.61,1.51,-0.20583160785470309,0.02896939786637944,-0.04212502902189429,-0.2800112356639287,29.0,5.0,1.0,16.5,35.0,16.125
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,1.57,0.8170993373494367,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,11.0,25.0,22.0,7.0,7.0,15.700000000000001
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,1.54,0.46403744922047774,0.13173190226099432,-0.004050271130006511,-0.14844576917771746,16.0,16.0,17.0,10.5,16.0,15.375
120841,Kotak Bluechip Fund - Regular - Growth,12.25,1.59,0.4942725378672349,0.13042924450705445,0.0363563990221998,-0.1757361416468729,13.0,17.0,16.0,6.0,24.0,14.650000000000002
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.55,-0.20151706755966936,0.03747580763443281,-0.05826843143880891,-0.24734440880673303,25.0,6.0,2.0,9.0,34.0,14.15
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.74,0.4957233929533123,0.06746210411099539,-0.0004440926329707226,-0.0009773140045925555,6.0,18.0,10.0,34.0,1.0,13.5
120844,Kotak Liquid Fund - Regular - Growth,6.18,0.6,-0.08874729621557288,0.06455677495375998,-0.0004007442394784006,-0.0011629327956168556,4.0,7.0,9.0,38.0,2.0,10.649999999999999
119092,Axis Bluechip Fund - Regular - Growth,11.84,1.64,0.03078485095458594,0.0689952982167755,0.009730745001153627,-0.1440161790933726,10.0,10.0,11.0,1.5,15.0,9.425
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,0.55,-0.35662950751436784,0.05074772999976104,0.0012566742731558475,-0.08316361763638702,2.0,3.0,6.0,40.0,6.0,9.15
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,0.56,-0.5670947928476846,0.042817920315060876,0.0011582183155281417,-0.04308263824636349,5.0,2.0,3.0,39.0,4.0,8.85
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,0.77,-0.22657538662791576,0.05620895216638369,-0.006413850728276476,-0.04328728923970093,3.0,4.0,7.0,32.0,5.0,8.6
101208,ABSL Liquid Fund - Regular - Growth,5.14,0.79,-0.8155673679088263,0.060861457957871144,0.00026670968338238335,-0.0016224980244717857,1.0,1.0,8.0,30.0,3.0,6.95
